Micro-filter (w_25),Macro-filter (w_354),Leakage (L_Leakage),Orthogonality (L_Ortho),Baseflow (L_Baseflow),Total Physical Loss (L_PI)
7,31,0.006025,0.020661,0.008749,0.035435
7,41,0.005976,0.019849,0.008767,0.034592
7,51,0.006034,0.01943,0.008773,0.034237
7,71,0.006126,0.019074,0.008777,0.033977
7,91,0.006171,0.018937,0.008778,0.033886
11,31,0.030382,0.029732,0.0087,0.068814
11,41,0.03109,0.028706,0.008717,0.068513
11,51,0.032076,0.028143,0.008723,0.068942
11,71,0.033272,0.027646,0.008726,0.069644
11,91,0.033822,0.02745,0.008726,0.069998
15,31,0.072937,0.037533,0.008683,0.119153
15,41,0.075079,0.03618,0.008699,0.119958
15,51,0.077876,0.03535,0.008705,0.121931
15,71,0.081261,0.03457,0.008707,0.124539
15,91,0.082825,0.03425,0.008707,0.125783
21,31,0.145295,0.049248,0.00867,0.203213
21,41,0.147325,0.047647,0.008685,0.203657
21,51,0.15171,0.046422,0.00869,0.206821
21,71,0.157498,0.045148,0.008692,0.211337
21,91,0.160267,0.044595,0.008692,0.213554
